INSERT INTO clients (full_name, phone, email) VALUES
('Barbara Martinez', '+1-208-566-1371', 'barbara.martinez371@example.com'),
('Richard Martinez', '+1-208-567-1372', 'richard.martinez372@example.com'),
('Susan Martinez', '+1-208-568-1373', 'susan.martinez373@example.com'),
('Joseph Martinez', '+1-208-569-1374', 'joseph.martinez374@example.com'),
('Jessica Martinez', '+1-208-570-1375', 'jessica.martinez375@example.com'),
('Thomas Martinez', '+1-208-571-1376', 'thomas.martinez376@example.com'),
('Sarah Martinez', '+1-208-572-1377', 'sarah.martinez377@example.com'),
('Charles Martinez', '+1-208-573-1378', 'charles.martinez378@example.com'),
('Karen Martinez', '+1-208-574-1379', 'karen.martinez379@example.com'),
('James Robinson', '+1-208-575-1380', 'james.robinson380@example.com'),
('Mary Robinson', '+1-208-576-1381', 'mary.robinson381@example.com'),
('John Robinson', '+1-208-577-1382', 'john.robinson382@example.com'),
('Patricia Robinson', '+1-208-578-1383', 'patricia.robinson383@example.com'),
('Robert Robinson', '+1-208-579-1384', 'robert.robinson384@example.com'),
('Jennifer Robinson', '+1-208-580-1385', 'jennifer.robinson385@example.com'),
('Michael Robinson', '+1-208-581-1386', 'michael.robinson386@example.com'),
('Linda Robinson', '+1-208-582-1387', 'linda.robinson387@example.com'),
('William Robinson', '+1-208-583-1388', 'william.robinson388@example.com'),
('Elizabeth Robinson', '+1-208-584-1389', 'elizabeth.robinson389@example.com'),
('David Robinson', '+1-208-585-1390', 'david.robinson390@example.com'),
('Barbara Robinson', '+1-208-586-1391', 'barbara.robinson391@example.com'),
('Richard Robinson', '+1-208-587-1392', 'richard.robinson392@example.com'),
('Susan Robinson', '+1-208-588-1393', 'susan.robinson393@example.com'),
